PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-09-21,15:44:45.12,1,1,"George, Pierce",703670,Right,ALA_CRI,"Eblin, Bryce",1000050509,Left,ALA_CRI1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.35978,-1.889833,-1.169387,2279.826752,212.411016,1:00,6.55326,1.74318,5.53619,-13.33111,16.89997,10.17119,3.67486,1.49757,88.76277,-4.407674,0.6439,0.395729,,,,,,,,,,,,-5.42205,9.28162,-1.64856,50,6.38039,2.37288,-139.97189,-5.05822,-10.86254,28.68661,-13.57926,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,b2c53310-58bf-11ee-b66d-2b55a1776162,95.24805,,,7.59701,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:44:45.12,2023-09-21T15:44:45.1214930-05:00,2023-09-21T20:44:45.1214930Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,2a0e6f14-c241-4f8e-9eb7-7c6351882fa2,54.96501,-140.98577,14.3433,6.55068,-4.57828,-6.78963,-1.73921,2.7568,-5.43127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-09-21,15:45:01.86,1,2,"George, Pierce",703670,Right,ALA_CRI,"Eblin, Bryce",1000050509,Left,ALA_CRI1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Undefined,0,0,,96.80458,-4.836127,-2.372608,2362.061336,218.392742,1:15,6.48552,1.68295,5.7987,-12.57591,17.36406,13.02725,0.92466,0.56043,89.09511,-7.216294,-0.040093,0.393819,54.61588,-71.350811,53.347866,,,,,2.38274,2.38274,-6.987749,0.013412,-7.33272,10.44284,-1.49599,50,6.07931,5.22471,-140.16269,-12.26363,-14.67898,29.81289,-11.26916,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,bcc15a10-58bf-11ee-b66d-2b55a1776162,95.70998,1.02047,,7.70947,,,,2.15945,1.02047,-0.56618,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:45:01.86,2023-09-21T15:45:01.8625106-05:00,2023-09-21T20:45:01.8625106Z,GroundBall,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,03181521-12ec-4e1e-a69e-3492844ce6da,54.70444,-141.15979,14.90645,6.48317,-11.88673,-5.63458,-1.67894,5.71565,-7.33949,,2.15936,15.32918,,,,,,,,1.02088,-76.0873,,,,,,,,-0.56629,20.60157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2023-09-21,15:45:37.62,2,1,"George, Pierce",703670,Right,ALA_CRI,"Guscette, Mac",1000035909,Right,ALA_CRI1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.57248,-4.520071,-3.154528,2254.574459,211.227655,1:00,6.4772,1.35183,5.84683,-11.75316,18.50796,10.6119,1.28213,-0.69832,88.17664,-6.77539,-1.255347,0.395926,,,,,,,,,,,,-6.268,10.99871,-1.10099,50,6.10115,7.20091,-139.65321,-11.38511,-12.37404,31.55664,-10.46083,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,d21dcbf0-58bf-11ee-b66d-2b55a1776162,95.20075,,,8.39585,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:45:37.62,2023-09-21T15:45:37.6202322-05:00,2023-09-21T20:45:37.6202322Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,18070247-592b-41a4-b815-af5c5e570bc9,54.65279,-140.70064,15.77832,6.47328,-11.03789,-5.23041,-1.34682,7.61163,-6.18702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-09-21,15:45:51.93,2,2,"George, Pierce",703670,Right,ALA_CRI,"Guscette, Mac",1000035909,Right,ALA_CRI1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,96.12692,-2.80665,-1.5064,2215.095045,211.202769,1:00,6.58932,1.28074,5.6004,-11.81764,19.01611,10.87516,2.98122,0.7803,87.19974,-5.08571,0.434281,0.399654,,,,,,,,,,,,-5.95831,10.77977,-1.15892,50,6.34129,3.14817,-139.30821,-7.17597,-11.62482,33.39275,-11.1424,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,daa22000-58bf-11ee-b66d-2b55a1776162,94.31261,,,8.92718,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:45:51.93,2023-09-21T15:45:51.9342674-05:00,2023-09-21T20:45:51.9342674Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,9d67ca37-682f-4a2d-bc6f-e30892e77b02,54.89943,-140.47771,16.69638,6.58578,-6.78574,-5.5712,-1.27631,3.55531,-5.81241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-09-21,15:46:12.77,2,3,"George, Pierce",703670,Right,ALA_CRI,"Guscette, Mac",1000035909,Right,ALA_CRI1,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.71158,-2.463956,-2.73674,2311.191185,206.132891,12:45,6.45792,1.2218,5.76381,-9.50119,20.31615,9.5367,3.36879,-0.53264,89.01945,-4.307895,-1.03217,0.393012,,,,,,,,,,,,-5.51398,11.21221,-1.0007,50,6.24762,6.26132,-140.34335,-6.28711,-11.11035,28.70481,-9.58203,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,e710cda0-58bf-11ee-b66d-2b55a1776162,95.90659,,,7.69213,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:46:12.77,2023-09-21T15:46:12.7781970-05:00,2023-09-21T20:46:12.7781970Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,fc14608b-320d-4b70-b2ed-0acf87a3f480,54.73708,-141.30891,14.35241,6.45368,-5.96479,-4.79102,-1.2176,6.63505,-5.55517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-09-21,15:46:35.25,3,1,"George, Pierce",703670,Right,ALA_CRI,"Sleight, Evan",687433,Left,ALA_CRI1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.84472,-2.43974,-1.992199,2304.391374,207.056161,1:00,6.57274,1.5336,5.63843,-10.67213,19.70596,9.62493,3.40451,0.47632,88.53764,-4.483558,-0.274285,0.39669,,,,,,,,,,,,-5.35595,10.85103,-1.37043,50,6.35833,4.39409,-139.19264,-6.24152,-10.64869,27.31602,-10.60005,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,f46b13c0-58bf-11ee-b66d-2b55a1776162,95.01732,,,7.30708,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:46:35.25,2023-09-21T15:46:35.2561746-05:00,2023-09-21T20:46:35.2561746Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,8df28a87-1999-445c-bb9c-265d4f35c71d,54.86339,-140.14381,13.65801,6.56924,-5.87241,-5.30003,-1.52989,4.76489,-5.32434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-09-21,15:46:49.55,3,2,"George, Pierce",703670,Right,ALA_CRI,"Sleight, Evan",687433,Left,ALA_CRI1,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.91505,-2.554311,-3.042409,2653.209256,59.282023,8:00,6.17056,1.90967,5.27999,-43.61372,-3.68843,-7.81311,0.13211,-1.60153,79.25684,-10.338341,-4.429674,0.454774,,,,,,,,,,,,3.29414,-1.04673,-1.62575,50,5.90427,6.794,-121.86846,-7.05822,5.05788,19.24878,-33.78124,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,fcffe290-58bf-11ee-b66d-2b55a1776162,82.88168,,,4.65821,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:46:49.55,2023-09-21T15:46:49.5548498-05:00,2023-09-21T20:46:49.5548498Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,050e2af1-64b0-4753-9f76-8c27a6ecfe1e,55.22563,-122.69106,9.62439,6.17506,-5.61458,-16.89062,-1.91147,6.57785,2.52894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-09-21,15:47:08.40,3,3,"George, Pierce",703670,Right,ALA_CRI,"Sleight, Evan",687433,Left,ALA_CRI1,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.39035,-0.845454,-2.162791,2718.024294,48.237873,7:30,6.19867,1.85265,5.15366,-47.77199,-7.71764,-9.89382,1.42114,-1.00886,78.51053,-9.416373,-3.916766,0.455508,,,,,,,,,,,,4.38453,-3.28488,-1.64255,50,6.08256,5.05405,-122.5677,-3.65499,6.71725,22.61345,-37.20661,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,0840be90-58c0-11ee-b66d-2b55a1776162,82.74809,,,5.87982,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:47:08.40,2023-09-21T15:47:08.4084306-05:00,2023-09-21T20:47:08.4084306Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,4bf54366-e737-4dec-ad7b-56a5530790a5,55.35069,-123.55095,11.30673,6.20631,-2.03723,-18.60331,-1.85595,4.76198,3.35862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-09-21,15:47:28.95,3,4,"George, Pierce",703670,Right,ALA_CRI,"Sleight, Evan",687433,Left,ALA_CRI1,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.07439,-2.507334,-1.280718,2595.389156,52.663623,7:45,6.29293,1.78179,5.69349,-41.30786,-3.30201,-5.83969,0.51175,0.10135,79.60172,-10.003162,-2.328236,0.443707,,,,,,,,,,,,2.63492,-0.67402,-1.67037,50,6.05595,3.03067,-124.95285,-6.95258,4.1647,25.2389,-33.2394,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,147437f0-58c0-11ee-b66d-2b55a1776162,84.94886,,,6.47267,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:47:28.95,2023-09-21T15:47:28.9549394-05:00,2023-09-21T20:47:28.9549394Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,6df3399a-d949-4be6-8e4a-bded0a5be6ec,54.80956,-125.92057,12.61945,6.2981,-5.6781,-16.6197,-1.78352,2.87098,2.08235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-09-21,15:48:01.58,4,1,"George, Pierce",703670,Right,ALA_CRI,"Petrutz, Ian",1000243586,Left,ALA_CRI1,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.63689,0.171084,-0.700431,2610.481235,98.571727,9:15,6.2564,1.75138,5.32798,-36.81986,2.72728,-10.49256,3.34864,0.21971,78.1277,-6.538947,-2.565089,0.452615,,,,,,,,,,,,5.07055,1.69461,-1.68029,50,6.24533,1.9535,-122.97288,-0.98537,7.81788,22.81721,-29.56128,ALA_CRI,ALA_CRI1,SwellThomasStadium,TeamExclusive,Team,20230921-SwellThomasStadium-Private-1,27e7c590-58c0-11ee-b66d-2b55a1776162,83.27707,,,6.50919,,,,,,,f3a66377-0827-4158-95b6-b6be51435c2f,2023-09-21,20:48:01.58,2023-09-21T15:48:01.5860818-05:00,2023-09-21T20:48:01.5860818Z,,v3,471226,test-3,,"Guangorena, Kameron",1000051062,Right,ALA_CRI,740de43d-a8d7-43df-ad81-08a9f4702b46,55.17363,-123.92911,11.40861,6.26067,0.25349,-14.78064,-1.7553,1.62586,3.90894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
